rank,dpto5,departamento,provincia,mca_cluster_label,eci_software,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,pob_2022,pct_nbi_2010,pct_jefe_sec_2010,pct_pc_2010,rad_2014,pob_2010,tasa_empleo_2010
107,06686,Rojas,Buenos Aires,Pampeana-Educated,0.10438116897601321,7,63.142857142857146,14.0,82.0,25619.0,3.620474406991261,31.61048689138577,44.20724094881398,15.255236096630306,23432.0,72.737356
108,06119,Brandsen,Buenos Aires,Metropolitan-Diversified,0.10145278733258174,8,65.375,5.0,63.0,32350.0,8.409418548774628,34.574723690533396,43.11629024507448,13.467639921885663,26367.0,74.434612
109,06371,General San Martín,Buenos Aires,Metropolitan-Core,0.09045767350120872,11,59.81818181818182,54.0,566.0,444503.0,6.708607978859177,40.425819432140656,52.488701370850286,97.19313846487998,414196.0,77.920405
110,06560,Moreno,Buenos Aires,Intermediate-Urban,0.08295325918080483,12,62.75,41.0,288.0,575758.0,12.921719778093149,28.27054573603406,37.19197522900271,53.70867427875304,452505.0,72.314301
111,06826,Trenque Lauquen,Buenos Aires,Pampeana-Educated,0.06799927973131116,10,63.8,19.0,215.0,49128.0,3.436875817893794,34.961085474206214,48.446862731593086,46.99967653257619,43021.0,77.713233
112,06252,Escobar,Buenos Aires,Metropolitan-Diversified,0.05512991132076335,14,53.92857142857143,30.0,324.0,256071.0,11.60700888614728,35.342858571881095,47.141594838365485,53.47091371136674,213619.0,76.26536
113,54091,Oberá,Misiones,Intermediate-Urban,0.05090214793164047,14,59.5,51.0,388.0,120703.0,14.572228144989339,25.932835820895523,28.541444562899787,12.857083315596299,107501.0,65.101006
114,06161,Carmen de Areco,Buenos Aires,Pampeana-Educated,0.0018619450544359495,8,62.25,3.0,72.0,17345.0,5.139278773483049,25.86914273375081,43.27359101705895,11.615091878135868,14692.0,75.564776
115,54119,25 de Mayo,Misiones,Semi-Rural-Active,-0.007785019909930928,3,75.0,1.0,19.0,30877.0,15.008633284632753,8.85907823084075,12.206136273077433,1.3609453618804048,27754.0,64.645573
116,06224,Chivilcoy,Buenos Aires,Metropolitan-Core,-0.008061876831308509,10,64.4,46.0,344.0,70554.0,3.613639451161527,33.53258162387357,44.89426255490649,29.271321444851623,64185.0,77.985986
117,06182,Coronel de Marina Leonardo Rosales,Buenos Aires,Metropolitan-Core,-0.015524274799456464,9,61.22222222222222,37.0,276.0,65823.0,2.888179571663921,52.83154859967051,56.878088962108734,23.67883012559727,62152.0,71.028711
118,06833,Tres Arroyos,Buenos Aires,Metropolitan-Core,-0.04424439805154462,10,62.6,58.0,320.0,61889.0,3.291239932385403,34.53316098240032,49.97514169235358,25.685399732560402,57110.0,76.225266
119,14084,Presidente Roque Sáenz Peña,Córdoba,Pampeana-Educated,-0.05862475152072127,7,69.85714285714286,11.0,55.0,37551.0,4.516555197754108,28.17273552968376,46.701345883907194,23.52294420780531,36282.0,72.772826
120,06412,José C. Paz,Buenos Aires,Intermediate-Urban,-0.059900436892256895,9,67.66666666666667,14.0,128.0,326527.0,12.004684755026352,23.218817099355846,36.301274364908956,54.18666503569385,265981.0,72.387787
121,14028,Cruz del Eje,Córdoba,Intermediate-Urban,-0.06023337680953337,12,63.166666666666664,39.0,492.0,64748.0,14.685226987710058,30.354903436167543,29.17607223476298,19.047583699883283,58759.0,57.550351
122,06648,Presidente Perón,Buenos Aires,Intermediate-Urban,-0.07459789683231033,6,67.5,13.0,53.0,101994.0,19.129866492391,24.866959200821587,32.401269722714964,47.33886640568853,81141.0,71.331103
123,06175,Colón,Buenos Aires,Pampeana-Educated,-0.07622701528705626,4,76.0,5.0,25.0,27406.0,3.809058722988646,29.80100109876694,39.824197289708216,19.6201988210607,24890.0,71.819624
124,30091,Tala,Entre Ríos,Intermediate-Urban,-0.10088044571754928,7,61.42857142857143,3.0,39.0,31091.0,6.09088746133714,27.242445871996193,31.82250773257197,13.14586412958174,25665.0,68.244755
125,06553,Monte Hermoso,Buenos Aires,Metropolitan-Core,-0.10767903036144734,7,68.14285714285714,6.0,36.0,8444.0,5.148005148005148,39.55383955383955,45.34534534534534,38.89346957334301,6499.0,76.558862
126,06070,Baradero,Buenos Aires,Pampeana-Educated,-0.12981519018053872,6,65.16666666666667,29.0,270.0,39223.0,5.789170506912442,35.09024577572965,45.746927803379414,21.981153524735117,32761.0,71.534575
127,06728,San Andrés de Giles,Buenos Aires,Pampeana-Educated,-0.13699067539714826,5,75.0,3.0,17.0,26399.0,5.7111477210323995,27.210323997803403,41.3783635365184,13.640566440885895,23027.0,75.134731
128,06700,Saavedra,Buenos Aires,Pampeana-Educated,-0.14594486996672312,3,52.333333333333336,2.0,19.0,21407.0,1.1483253588516746,35.42036910457963,47.751196172248804,11.00334363222354,20749.0,78.600648
